name_query,code,main_service_line,sub_service_line,engage_nature
AUD2022,22894433,2,1,0
AUD2022,22894443,2,1,0
AUD2022,22894468,2,1,0
AUD2022,22894503,2,1,0
AUD2022,22894513,2,1,0
AUD2022,22894533,2,1,0
AUD2022,22894538,2,1,0
AUD2022,22894543,2,1,0
AUD2022,22894553,2,1,0
AUD2022,22894558,2,1,0
AUD2022,22894568,2,1,0
AUD2022,22894573,2,1,0
AUD2022,22894588,2,1,0
AUD2022,22894598,2,1,0
AUD2022,22894613,2,1,0
AUD2022,22894623,2,1,0
AUD2022,22894643,2,1,0
AUD2022,22894658,2,1,0
AUD2022,22894693,2,1,0
AUD2022,22894703,2,1,0
AUD2022,22894713,2,1,0
AUD2021,22974118,1,1,0
AUD2021,22974148,2,1,1
AUP2021,22974168,1,1,1
SPC2021,22974183,2,1,1
FAA2021,22974323,2,1,1
AUD2021,22974998,1,1,1
AUD2021,22975013,1,1,1
Impairm,22822558,2,2,1
AUD2021,22822563,2,1,1
AUD2021,22827063,2,1,1
AUD2021,22827183,2,1,1
AUD2021,22828208,2,1,1
SPC2021,22828443,1,1,1
青浦区西虹桥蟠,22828943,2,5,1
AUP2021,22828968,1,1,1
FAAS-20,22829178,1,2,1
CAP2021,22829388,2,1,1
AUD2021,22823078,2,1,0
AUD2021,22823083,1,1,0
IPO2021,22823193,2,1,1
Vanke_E,22823253,2,3,1
INT2022,22808923,1,1,0
INT2022,22808938,1,1,0
QTR2022,22809118,1,1,0
AUD2022,22823558,2,1,0
AUD2022,22823563,2,1,0
AUD2022,22823573,2,1,0
AUD2022,22823593,2,1,0
AUD2022,22823598,2,1,0
IPO2020,22809778,2,1,1
AUD2021,22809898,2,1,1
AUD2021,22809918,2,1,1
IPO2021,22810003,2,1,1
2021 RS,22810108,2,3,1
Project,22811838,2,2,1
AUD2021,22811863,1,1,1
IPO2021,22812358,2,1,1
IPO2024,22812453,2,1,1
AUD2021,23181768,1,1,0
AUD2021,23181773,1,1,0
AUD2021,23181778,1,1,0
AUD2021,23181788,1,1,0
INT2021,22823808,2,1,1
IND2021,22823888,1,1,1
SPC2021,22823933,2,1,1
SPC2021,22748788,2,1,1
INT2021,22870683,2,1,1
CSO rev,22870698,2,2,1
AUD2020,22870748,2,1,1
Admin -,22870788,2,4,1
AUD2021,22870833,2,1,1
IPO2021,22870853,2,1,1
MJT2021,22871023,2,1,1
IT eval,22871128,2,4,1
GAAP co,22871228,2,2,1
Populus,22871243,2,4,1
ASC 842,22871308,2,2,1
FY22华润置,22871503,2,5,1
AUD2021,22871508,1,1,1
AUD2021,22871703,2,1,1
IPO2022,22871723,2,1,1
FAA2021,22871793,2,1,1
2020 ES,22749248,2,3,1
MJT2021,22749273,1,1,1
Global ,22749363,2,5,1
